epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/IoU_crack(M),metrics/IoU_background(M),metrics/mIoU(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1153.13,0.5462,0.95191,0.50718,1.01287,0.84132,0.80901,0.86653,0.71251,0.86939,0.80713,0.86769,0.56846,0.31394,0.83905,0.57649,0.70376,0.82346,0.77501,0.98745,0.0010595,0.0010595,0.0010595
97,1164.96,0.52825,0.93408,0.52097,1.00767,0.86441,0.81335,0.87729,0.71252,0.87622,0.797,0.87437,0.56862,0.62716,0.95525,0.79121,0.73367,0.77462,0.77321,1.0266,0.0010496,0.0010496,0.0010496
98,1176.85,0.53773,0.9502,0.50683,1.00067,0.85527,0.79428,0.86686,0.69658,0.8577,0.79653,0.86859,0.57243,0.787,0.97959,0.88329,0.73344,0.7796,0.78737,1.00449,0.0010397,0.0010397,0.0010397
99,1188.73,0.53016,0.92842,0.50284,0.99949,0.84742,0.80109,0.88678,0.71878,0.86892,0.79973,0.88225,0.58356,0.78437,0.97947,0.88192,0.73462,0.77156,0.79777,1.02088,0.0010298,0.0010298,0.0010298
100,1200.7,0.5262,0.94937,0.49342,1.00079,0.83117,0.80489,0.87526,0.72036,0.91235,0.76575,0.87712,0.58402,0.69964,0.96742,0.83353,0.73361,0.78983,0.77609,1.0122,0.0010199,0.0010199,0.0010199
101,1212.66,0.54621,0.93797,0.50153,1.01004,0.86962,0.78149,0.86551,0.70586,0.86884,0.797,0.87279,0.57418,0.43336,0.90151,0.66744,0.73546,0.77958,0.80294,1.0215,0.00101,0.00101,0.00101
102,1224.62,0.54004,0.94879,0.50298,1.00168,0.8753,0.79837,0.88251,0.71832,0.88822,0.79292,0.88742,0.58284,0.5175,0.93079,0.72415,0.72943,0.78476,0.76838,1.02358,0.0010001,0.0010001,0.0010001
103,1236.55,0.52943,0.91251,0.48863,1.00461,0.85295,0.81395,0.86792,0.71727,0.88926,0.80245,0.87388,0.56622,0.21026,0.71534,0.4628,0.72484,0.8077,0.78652,1.02219,0.0009902,0.0009902,0.0009902
104,1248.52,0.52398,0.92366,0.47996,1.00426,0.86685,0.80711,0.87659,0.72503,0.88135,0.8188,0.88118,0.58247,0.62238,0.95431,0.78835,0.70954,0.78446,0.73825,0.99863,0.0009803,0.0009803,0.0009803
105,1260.53,0.53446,0.94018,0.49189,1.00415,0.84475,0.8079,0.87525,0.72113,0.83875,0.82203,0.88051,0.58453,0.46855,0.91518,0.69187,0.7329,0.76588,0.75598,1.0161,0.0009704,0.0009704,0.0009704
106,1272.42,0.51643,0.91904,0.47671,0.99357,0.85497,0.78711,0.85578,0.70312,0.87254,0.80206,0.86635,0.56889,0.75073,0.97499,0.86286,0.73922,0.77662,0.81333,1.0225,0.0009605,0.0009605,0.0009605
107,1284.29,0.5215,0.91762,0.48311,1.00049,0.86597,0.79428,0.87243,0.71616,0.89628,0.79973,0.87611,0.57278,0.7691,0.97753,0.87331,0.73747,0.78131,0.79048,1.01945,0.0009506,0.0009506,0.0009506
108,1296.2,0.53548,0.92738,0.48726,1.00911,0.84566,0.82289,0.88682,0.73007,0.85657,0.83515,0.88564,0.58379,0.7486,0.97495,0.86177,0.72211,0.7861,0.74348,1.01321,0.0009407,0.0009407,0.0009407
109,1308.36,0.50747,0.91806,0.46242,0.98612,0.88378,0.79019,0.87154,0.72332,0.89905,0.80078,0.87603,0.58276,0.73388,0.97277,0.85332,0.71371,0.79999,0.7732,1.00059,0.0009308,0.0009308,0.0009308
110,1320.26,0.51952,0.92183,0.4839,0.99446,0.86006,0.80385,0.87915,0.7271,0.88574,0.81063,0.87985,0.58658,0.74488,0.97456,0.85972,0.71075,0.79474,0.75333,1.01571,0.0009209,0.0009209,0.0009209
111,1332.14,0.50513,0.90605,0.4677,0.98849,0.86661,0.80518,0.87823,0.72829,0.88036,0.802,0.87656,0.59307,0.73511,0.97302,0.85407,0.70971,0.77481,0.75575,0.99658,0.000911,0.000911,0.000911
112,1343.94,0.52281,0.92219,0.47935,1.00027,0.87102,0.82801,0.8791,0.73264,0.88753,0.82153,0.88665,0.58606,0.71395,0.97003,0.84199,0.7155,0.77,0.74501,0.99056,0.0009011,0.0009011,0.0009011
113,1355.78,0.52255,0.92272,0.4716,0.99789,0.85463,0.80896,0.87019,0.72398,0.88361,0.80245,0.87461,0.5699,0.66926,0.96355,0.81641,0.69211,0.78008,0.774,0.98726,0.0008912,0.0008912,0.0008912
114,1367.88,0.53221,0.89521,0.49311,1.00367,0.8639,0.80245,0.8579,0.70153,0.87715,0.80742,0.86738,0.56834,0.74556,0.97427,0.85992,0.75187,0.77108,0.79655,1.04235,0.0008813,0.0008813,0.0008813
115,1379.79,0.52031,0.92075,0.47269,0.99653,0.86044,0.81063,0.8712,0.73068,0.87106,0.81911,0.87946,0.58591,0.67176,0.96337,0.81757,0.68453,0.77742,0.75256,0.98228,0.0008714,0.0008714,0.0008714
116,1391.78,0.51086,0.89017,0.46829,0.9972,0.86234,0.80381,0.86461,0.71772,0.8679,0.80562,0.86898,0.5843,0.75243,0.97538,0.86391,0.69643,0.78596,0.76731,0.98539,0.0008615,0.0008615,0.0008615
117,1403.68,0.50167,0.91587,0.46314,0.98597,0.85015,0.82425,0.88218,0.73479,0.89639,0.79428,0.88516,0.58748,0.74717,0.97494,0.86106,0.70854,0.78945,0.76337,1.00777,0.0008516,0.0008516,0.0008516
118,1415.75,0.51366,0.90868,0.4697,0.99036,0.87867,0.79837,0.86609,0.7301,0.89512,0.80926,0.8717,0.5753,0.2566,0.78267,0.51964,0.68494,0.78475,0.75357,0.99243,0.0008417,0.0008417,0.0008417
119,1427.65,0.50241,0.89302,0.46321,0.98399,0.85814,0.79945,0.87186,0.72973,0.88237,0.80245,0.87622,0.5867,0.5936,0.94832,0.77096,0.67714,0.7743,0.76493,0.97115,0.0008318,0.0008318,0.0008318
120,1439.56,0.51376,0.89805,0.47947,0.99497,0.87598,0.80245,0.87712,0.74036,0.90003,0.79564,0.88584,0.58608,0.76855,0.97725,0.8729,0.6895,0.78397,0.75069,0.99327,0.0008219,0.0008219,0.0008219
121,1451.45,0.51344,0.90795,0.45761,0.9932,0.87662,0.80347,0.87884,0.73365,0.90874,0.79837,0.88607,0.59211,0.75166,0.97539,0.86353,0.70841,0.78689,0.75144,1.00571,0.000812,0.000812,0.000812
122,1463.32,0.51079,0.91634,0.4726,0.9909,0.887,0.79141,0.87499,0.73689,0.8955,0.80654,0.88861,0.58581,0.51977,0.9315,0.72563,0.69557,0.81313,0.72854,1.00174,0.0008021,0.0008021,0.0008021
123,1475.35,0.5039,0.8996,0.45453,0.98533,0.88644,0.79758,0.86607,0.73214,0.88474,0.81471,0.88309,0.58538,0.70683,0.96897,0.8379,0.71801,0.78752,0.78187,1.02738,0.0007922,0.0007922,0.0007922
124,1487.24,0.49065,0.88151,0.45709,0.98149,0.88944,0.79564,0.8734,0.73675,0.9024,0.7936,0.87996,0.58429,0.4721,0.91573,0.69391,0.68057,0.77701,0.73392,0.98152,0.0007823,0.0007823,0.0007823
125,1499.17,0.50047,0.90291,0.45615,0.99003,0.87783,0.79292,0.88328,0.7393,0.91702,0.78291,0.88006,0.58824,0.77737,0.97877,0.87807,0.6904,0.80261,0.74718,0.99423,0.0007724,0.0007724,0.0007724
126,1511.13,0.49378,0.87625,0.45472,0.97857,0.86424,0.80381,0.87328,0.72706,0.87156,0.81063,0.88256,0.57812,0.59182,0.94853,0.77018,0.69628,0.79871,0.74034,0.99809,0.0007625,0.0007625,0.0007625
127,1523.14,0.50303,0.88534,0.4545,0.99421,0.88572,0.77384,0.86814,0.71782,0.90443,0.79019,0.87431,0.57276,0.69285,0.96699,0.82992,0.70706,0.7912,0.77565,1.00925,0.0007526,0.0007526,0.0007526
128,1535.06,0.50531,0.92221,0.45494,0.98887,0.8785,0.79564,0.86198,0.72299,0.89114,0.80654,0.87049,0.56989,0.7901,0.9802,0.88515,0.67822,0.80324,0.76411,0.97327,0.0007427,0.0007427,0.0007427
129,1547.03,0.502,0.8984,0.45216,0.9901,0.86293,0.79769,0.86094,0.71329,0.87319,0.81617,0.8774,0.5674,0.3415,0.85479,0.59815,0.68473,0.79746,0.76386,0.98268,0.0007328,0.0007328,0.0007328
130,1558.88,0.4898,0.90488,0.43517,0.97849,0.88798,0.77657,0.86872,0.72844,0.90152,0.79019,0.88171,0.57854,0.3758,0.87568,0.62574,0.6875,0.78526,0.76359,0.98491,0.0007229,0.0007229,0.0007229
131,1570.76,0.4958,0.88199,0.4412,0.98275,0.85992,0.7861,0.86152,0.71163,0.87676,0.80109,0.87344,0.56833,0.44894,0.90818,0.67856,0.70243,0.78245,0.75928,0.99582,0.000713,0.000713,0.000713
132,1582.69,0.49898,0.8918,0.45207,0.9841,0.84673,0.81284,0.85742,0.70459,0.88315,0.80926,0.87044,0.569,0.59717,0.94958,0.77338,0.69856,0.77641,0.77195,0.99846,0.0007031,0.0007031,0.0007031
133,1594.49,0.49245,0.88139,0.43634,0.98176,0.87209,0.79886,0.85843,0.72394,0.88673,0.81058,0.87885,0.57377,0.61059,0.95212,0.78135,0.67421,0.79333,0.7457,0.97591,0.0006932,0.0006932,0.0006932
134,1606.32,0.48771,0.86832,0.44275,0.9767,0.86718,0.81199,0.88333,0.7396,0.87931,0.81744,0.88604,0.57992,0.70279,0.96876,0.83577,0.66791,0.80299,0.72977,0.97627,0.0006833,0.0006833,0.0006833
135,1618.11,0.49623,0.88778,0.4475,0.98507,0.87724,0.79833,0.86942,0.73373,0.90785,0.79191,0.87425,0.58509,0.46939,0.91571,0.69255,0.6723,0.78468,0.73085,0.9729,0.0006734,0.0006734,0.0006734
136,1630.19,0.48476,0.87415,0.43482,0.97343,0.87081,0.80654,0.87483,0.74626,0.89791,0.81481,0.87818,0.58575,0.42077,0.89782,0.65929,0.6535,0.7968,0.7154,0.96398,0.0006635,0.0006635,0.0006635
137,1642.14,0.47971,0.87592,0.43039,0.97714,0.87678,0.80518,0.86903,0.7363,0.89406,0.82016,0.8817,0.58082,0.46224,0.91288,0.68756,0.65627,0.79908,0.72062,0.95725,0.0006536,0.0006536,0.0006536
138,1654.09,0.47971,0.8755,0.42978,0.97165,0.85333,0.82153,0.87171,0.73713,0.86811,0.83515,0.87962,0.58727,0.23754,0.75848,0.49801,0.65228,0.79596,0.71001,0.97033,0.0006437,0.0006437,0.0006437
139,1665.99,0.49329,0.88371,0.44285,0.97732,0.86223,0.81744,0.88,0.73346,0.88437,0.81274,0.87689,0.5863,0.37877,0.8781,0.62843,0.66709,0.79892,0.73314,0.97655,0.0006338,0.0006338,0.0006338
140,1677.78,0.49363,0.87817,0.4358,0.98104,0.88103,0.79705,0.87586,0.72532,0.90393,0.80245,0.87414,0.58004,0.59917,0.95022,0.7747,0.67997,0.80009,0.7359,0.98541,0.0006239,0.0006239,0.0006239
141,1689.7,0.48264,0.87973,0.43487,0.97791,0.86212,0.80926,0.87287,0.72765,0.88634,0.82561,0.88258,0.5845,0.69896,0.96779,0.83337,0.68738,0.7901,0.72831,0.99162,0.000614,0.000614,0.000614
142,1701.55,0.4688,0.86649,0.41689,0.9631,0.86604,0.81029,0.88134,0.7476,0.87477,0.81847,0.88941,0.59378,0.6411,0.95788,0.79949,0.64093,0.78229,0.69323,0.95251,0.0006041,0.0006041,0.0006041
143,1713.43,0.47907,0.88273,0.42793,0.9735,0.9082,0.79292,0.87806,0.74068,0.92225,0.7919,0.88338,0.58488,0.74072,0.97408,0.8574,0.66716,0.79989,0.70403,0.97824,0.0005942,0.0005942,0.0005942
144,1725.3,0.48444,0.87296,0.43365,0.97517,0.87604,0.79917,0.87829,0.74336,0.88681,0.80654,0.87754,0.59432,0.66718,0.96286,0.81502,0.65986,0.76687,0.7211,0.96134,0.0005843,0.0005843,0.0005843
145,1737.19,0.4733,0.86505,0.41226,0.96726,0.84302,0.82834,0.86015,0.73059,0.86355,0.82775,0.87514,0.58157,0.64904,0.95943,0.80424,0.64743,0.7796,0.7204,0.95986,0.0005744,0.0005744,0.0005744
146,1749.18,0.47129,0.85698,0.41469,0.96719,0.86341,0.79228,0.86715,0.73319,0.87966,0.8166,0.88094,0.58936,0.70447,0.96877,0.83662,0.64326,0.78731,0.71389,0.9652,0.0005645,0.0005645,0.0005645
147,1761.08,0.47235,0.86021,0.41563,0.9691,0.86848,0.80065,0.86375,0.7284,0.88903,0.80926,0.873,0.57688,0.59411,0.94855,0.77133,0.65861,0.77926,0.69046,0.97613,0.0005546,0.0005546,0.0005546
148,1773.02,0.47331,0.85859,0.41498,0.97016,0.86144,0.8188,0.85739,0.7305,0.87335,0.82698,0.86961,0.58055,0.63954,0.95786,0.7987,0.66348,0.79261,0.73349,0.97838,0.0005447,0.0005447,0.0005447
149,1784.93,0.47881,0.87619,0.41531,0.97307,0.8737,0.80245,0.85759,0.72264,0.89131,0.81559,0.87634,0.5823,0.47077,0.91606,0.69341,0.6586,0.80262,0.73452,0.96673,0.0005348,0.0005348,0.0005348
150,1796.96,0.46563,0.84997,0.41495,0.97032,0.8923,0.80245,0.86357,0.72702,0.91518,0.80381,0.87468,0.5747,0.49917,0.92442,0.71179,0.6574,0.79191,0.72124,0.97744,0.0005249,0.0005249,0.0005249
151,1808.84,0.45919,0.83836,0.40165,0.96446,0.885,0.79019,0.86277,0.72893,0.90105,0.80641,0.87254,0.57714,0.73304,0.97327,0.85316,0.66759,0.789,0.71985,0.97828,0.000515,0.000515,0.000515
152,1820.71,0.46657,0.87629,0.41175,0.96577,0.86598,0.80654,0.86967,0.73678,0.89846,0.80654,0.87996,0.58809,0.31016,0.83359,0.57188,0.66418,0.8035,0.73093,0.97588,0.0005051,0.0005051,0.0005051
153,1832.6,0.4744,0.86774,0.41964,0.97017,0.89872,0.78883,0.8698,0.73848,0.9124,0.80109,0.8786,0.58956,0.60897,0.95216,0.78057,0.65045,0.77624,0.7302,0.96314,0.0004952,0.0004952,0.0004952
154,1844.49,0.47939,0.89061,0.41853,0.97558,0.86553,0.80677,0.86364,0.73096,0.90659,0.80661,0.87863,0.58487,0.62443,0.95558,0.79,0.66766,0.78889,0.71263,0.9776,0.0004853,0.0004853,0.0004853
155,1856.5,0.46255,0.85217,0.41289,0.9676,0.88961,0.77951,0.85953,0.73004,0.91136,0.79839,0.87969,0.58284,0.61544,0.95335,0.78439,0.66552,0.78876,0.74293,0.9645,0.0004754,0.0004754,0.0004754
156,1868.33,0.46121,0.88363,0.40996,0.96636,0.8751,0.78065,0.85944,0.72911,0.9002,0.7988,0.87633,0.58263,0.47551,0.9175,0.69651,0.66702,0.77912,0.75259,0.97097,0.0004655,0.0004655,0.0004655
157,1880.25,0.46985,0.8461,0.41145,0.96952,0.86526,0.80518,0.86636,0.73662,0.90306,0.81229,0.88288,0.58771,0.49451,0.92395,0.70923,0.65488,0.78834,0.73696,0.96714,0.0004556,0.0004556,0.0004556
158,1892.18,0.46475,0.84305,0.42198,0.96573,0.87884,0.80109,0.86401,0.73708,0.90963,0.8079,0.87827,0.58054,0.68468,0.96585,0.82527,0.65957,0.78894,0.72185,0.97523,0.0004457,0.0004457,0.0004457
159,1904.06,0.45624,0.85452,0.40616,0.96251,0.85008,0.79571,0.85703,0.72677,0.89031,0.79616,0.86979,0.58167,0.44313,0.90628,0.6747,0.66407,0.79788,0.74571,0.9768,0.0004358,0.0004358,0.0004358
160,1916.11,0.46164,0.83356,0.39679,0.96589,0.87381,0.79248,0.85637,0.72708,0.89109,0.8026,0.8651,0.578,0.33126,0.84937,0.59031,0.65759,0.79594,0.75206,0.97405,0.0004259,0.0004259,0.0004259
161,1927.96,0.46252,0.8567,0.39228,0.96875,0.88721,0.79155,0.85206,0.7204,0.91134,0.79821,0.86842,0.57267,0.3959,0.8874,0.64165,0.66657,0.81473,0.75078,0.97953,0.000416,0.000416,0.000416
162,1939.72,0.46045,0.83806,0.39847,0.96304,0.85239,0.81036,0.85772,0.72468,0.86954,0.82636,0.87527,0.57881,0.67061,0.96362,0.81712,0.65236,0.79512,0.71985,0.97431,0.0004061,0.0004061,0.0004061
163,1951.48,0.47226,0.8605,0.4065,0.97061,0.86081,0.8079,0.8621,0.73107,0.8731,0.81471,0.86405,0.58385,0.77179,0.97799,0.87489,0.65233,0.79682,0.71822,0.97063,0.0003962,0.0003962,0.0003962
164,1963.36,0.44946,0.85503,0.39335,0.95807,0.86834,0.80109,0.86099,0.73058,0.88787,0.80926,0.8697,0.57931,0.72094,0.97116,0.84605,0.66065,0.80013,0.75305,0.97083,0.0003863,0.0003863,0.0003863
165,1975.27,0.4585,0.84768,0.40548,0.96685,0.8692,0.80574,0.85687,0.72668,0.88674,0.81068,0.86777,0.58052,0.6726,0.9635,0.81805,0.65477,0.79976,0.74851,0.97287,0.0003764,0.0003764,0.0003764
166,1987.13,0.46811,0.85458,0.4063,0.96401,0.85462,0.8079,0.85873,0.7315,0.87762,0.81095,0.87261,0.58209,0.7351,0.97308,0.85409,0.65103,0.7839,0.73025,0.97202,0.0003665,0.0003665,0.0003665
167,1998.97,0.4565,0.84889,0.39391,0.96207,0.87333,0.79155,0.86376,0.73152,0.87945,0.79428,0.86762,0.57936,0.53143,0.93402,0.73272,0.66554,0.78381,0.73659,0.98021,0.0003566,0.0003566,0.0003566
168,2010.76,0.45237,0.84617,0.40477,0.96139,0.84707,0.81608,0.8616,0.72756,0.90619,0.79019,0.87461,0.57894,0.41833,0.89584,0.65708,0.66138,0.80001,0.73842,0.98543,0.0003467,0.0003467,0.0003467
169,2022.68,0.46208,0.83892,0.39224,0.96276,0.85947,0.81335,0.86337,0.73189,0.89509,0.80926,0.87357,0.58111,0.55345,0.93956,0.74651,0.64574,0.79102,0.71648,0.96041,0.0003368,0.0003368,0.0003368
170,2034.53,0.4561,0.83971,0.39168,0.96104,0.87652,0.80267,0.86679,0.73942,0.88883,0.82289,0.87797,0.58948,0.61308,0.95287,0.78297,0.64548,0.79467,0.71424,0.95811,0.0003269,0.0003269,0.0003269
171,2046.37,0.45001,0.85051,0.38862,0.95836,0.87086,0.797,0.86124,0.73174,0.90354,0.81199,0.87482,0.58169,0.57939,0.9459,0.76264,0.63956,0.79236,0.72249,0.95188,0.000317,0.000317,0.000317
172,2058.18,0.45387,0.84353,0.39437,0.95944,0.88021,0.78747,0.86667,0.73222,0.88449,0.8297,0.87912,0.58257,0.66739,0.96316,0.81527,0.65403,0.79979,0.72364,0.96551,0.0003071,0.0003071,0.0003071
173,2070.12,0.44535,0.85442,0.38848,0.95683,0.87286,0.80439,0.86993,0.74278,0.88743,0.82016,0.88122,0.59102,0.56818,0.94354,0.75586,0.6452,0.80418,0.71129,0.96246,0.0002972,0.0002972,0.0002972
174,2081.87,0.44095,0.82999,0.37971,0.95409,0.88881,0.79499,0.8652,0.74506,0.90519,0.80645,0.87897,0.58941,0.63822,0.95765,0.79794,0.63454,0.79758,0.69691,0.95325,0.0002873,0.0002873,0.0002873
175,2093.7,0.43899,0.83383,0.37621,0.9529,0.89237,0.802,0.86136,0.73984,0.90728,0.81608,0.87235,0.58348,0.66083,0.96169,0.81126,0.63208,0.79925,0.71583,0.9467,0.0002774,0.0002774,0.0002774
176,2105.53,0.43802,0.84279,0.38092,0.95149,0.87208,0.7988,0.86334,0.73885,0.90457,0.81199,0.87976,0.58192,0.55221,0.93945,0.74583,0.63531,0.79937,0.72243,0.95619,0.0002675,0.0002675,0.0002675
177,2117.33,0.44876,0.83812,0.37947,0.95834,0.88139,0.80994,0.86184,0.73438,0.8962,0.82339,0.87609,0.5785,0.54996,0.93902,0.74449,0.63679,0.80864,0.72599,0.9565,0.0002576,0.0002576,0.0002576
178,2129.23,0.43787,0.83738,0.37439,0.95464,0.87086,0.79931,0.85499,0.72475,0.89278,0.82814,0.87472,0.57465,0.55093,0.93941,0.74517,0.64078,0.80938,0.72553,0.95883,0.0002477,0.0002477,0.0002477
179,2141.02,0.43771,0.84671,0.3732,0.95714,0.87042,0.80109,0.86202,0.7327,0.91423,0.81324,0.87692,0.58193,0.53053,0.93401,0.73227,0.64612,0.80533,0.72771,0.96141,0.0002378,0.0002378,0.0002378
180,2152.84,0.43326,0.82411,0.37043,0.95364,0.88374,0.80245,0.8492,0.72267,0.90386,0.8188,0.87334,0.57278,0.55687,0.94063,0.74875,0.64554,0.8088,0.7308,0.95994,0.0002279,0.0002279,0.0002279
181,2164.64,0.43408,0.83896,0.37262,0.95423,0.88452,0.80654,0.8578,0.73173,0.90544,0.82561,0.87743,0.57802,0.67842,0.96468,0.82155,0.62998,0.81078,0.7168,0.94108,0.000218,0.000218,0.000218
182,2176.59,0.44092,0.82479,0.38958,0.95349,0.86728,0.81014,0.85991,0.73507,0.91263,0.81063,0.87541,0.58234,0.72118,0.97117,0.84617,0.63165,0.80799,0.7084,0.94308,0.0002081,0.0002081,0.0002081
183,2188.52,0.44456,0.84727,0.37549,0.95359,0.88626,0.79619,0.86309,0.74088,0.90747,0.81509,0.88131,0.58599,0.67886,0.96468,0.82177,0.63962,0.80616,0.7208,0.95214,0.0001982,0.0001982,0.0001982
184,2200.39,0.43635,0.8127,0.37411,0.95468,0.86307,0.81471,0.86052,0.73883,0.89486,0.8188,0.8752,0.58564,0.66464,0.96242,0.81353,0.63661,0.80917,0.71482,0.95626,0.0001883,0.0001883,0.0001883
185,2212.36,0.44022,0.84648,0.38269,0.9572,0.86752,0.81184,0.86108,0.73647,0.90474,0.81516,0.87801,0.58332,0.72942,0.97246,0.85094,0.62976,0.80768,0.71835,0.94755,0.0001784,0.0001784,0.0001784
186,2224.22,0.43389,0.85064,0.37809,0.94744,0.85247,0.82661,0.86067,0.73653,0.90258,0.8079,0.87428,0.58248,0.71692,0.97069,0.8438,0.63777,0.80802,0.72125,0.9543,0.0001685,0.0001685,0.0001685
187,2236.17,0.43024,0.82042,0.36388,0.9487,0.86752,0.82153,0.86101,0.7325,0.89928,0.81497,0.87128,0.58041,0.69584,0.96757,0.83171,0.63733,0.80803,0.72193,0.9616,0.0001586,0.0001586,0.0001586
188,2247.95,0.4387,0.81208,0.37247,0.95296,0.86476,0.81892,0.859,0.73169,0.91032,0.80207,0.87329,0.58349,0.67149,0.96353,0.81751,0.63382,0.80721,0.72045,0.9557,0.0001487,0.0001487,0.0001487
189,2259.76,0.42657,0.81723,0.36559,0.94558,0.86796,0.82425,0.86044,0.73413,0.8982,0.81742,0.87206,0.582,0.69063,0.96666,0.82864,0.63233,0.81255,0.71577,0.95749,0.0001388,0.0001388,0.0001388
190,2271.55,0.42805,0.81794,0.36356,0.94911,0.88323,0.80378,0.85696,0.73486,0.92126,0.81471,0.87633,0.58316,0.70272,0.96851,0.83562,0.63089,0.81293,0.729,0.9566,0.0001289,0.0001289,0.0001289
191,2283.46,0.43244,0.82005,0.36845,0.95335,0.87792,0.80654,0.85588,0.73234,0.90947,0.80751,0.87285,0.58661,0.6513,0.96006,0.80568,0.63269,0.81413,0.73934,0.95652,0.000119,0.000119,0.000119
192,2295.23,0.42963,0.82241,0.35928,0.94225,0.88458,0.80398,0.85573,0.73261,0.90386,0.82016,0.87348,0.58424,0.63752,0.95765,0.79759,0.63612,0.81159,0.73558,0.96103,0.0001091,0.0001091,0.0001091
